class,method,signature,source,protocol,validation,conversion,return_expr,doc
MyArmAPI,set_servo_calibrate,"self, servo_id",pymycobot/myarm_api.py:L275-L282,ProtocolCode.SET_SERVO_CALIBRATION (0x54),servo_id=servo_id,,,Sets the zero position of the specified servo motor /  / Args: /     servo_id (int): 0 - 254
MyArmAPI,get_servo_encoder,"self, servo_id",pymycobot/myarm_api.py:L284-L294,ProtocolCode.GET_ENCODER (0x3B),servo_id=servo_id,,"self._mesg(ProtocolCode.GET_ENCODER, servo_id, has_reply=True)",Gets the current encoder potential value for the specified servo motor /  / Args: /     servo_id (int): 0 - 254 /  / Returns: /     encoder (int): 0-4095
MyArmAPI,get_servos_encoder_drag,self,pymycobot/myarm_api.py:L296-L302,ProtocolCode.GET_SERVOS_ENCODER_DRAG (0xEF),,,"self._mesg(ProtocolCode.GET_SERVOS_ENCODER_DRAG, has_reply=True)",Reads the current encoder value and operating speed of all servo motors / Returns: /     encoders (list[int * 8]): 0-4095 /     speeds (list[int * 8]): 0-4095
MyArmAPI,is_all_servos_enabled,self,pymycobot/myarm_api.py:L304-L311,ProtocolCode.IS_ALL_SERVO_ENABLE (0x51),,,"self._mesg(ProtocolCode.IS_ALL_SERVO_ENABLE, has_reply=True)",Get the connection status of multiple servo motors /  / Returns: /     status: list[int*8] 0: The connection failed 1: The connection is successful
MyArmAPI,get_servos_temp,self,pymycobot/myarm_api.py:L313-L315,ProtocolCode.GET_SERVO_TEMPS (0xE5),,,"self._mesg(ProtocolCode.GET_SERVO_TEMPS, has_reply=True)",Obtain the temperature of multiple servo motors
MyArmAPI,get_servos_voltage,self,pymycobot/myarm_api.py:L317-L319,ProtocolCode.GET_SERVO_VOLTAGES (0xE3),,,"self._mesg(ProtocolCode.GET_SERVO_VOLTAGES, has_reply=True)",Get the voltage of multiple servo motors
MyArmAPI,get_servos_current,self,pymycobot/myarm_api.py:L321-L323,ProtocolCode.GET_SERVO_CURRENTS (0xE2),,,"self._mesg(ProtocolCode.GET_SERVO_CURRENTS, has_reply=True)",Obtain the current of multiple servo motors
MyArmAPI,get_servos_status,self,pymycobot/myarm_api.py:L325-L327,ProtocolCode.GET_SERVO_STATUS (0xE4),,,"self._mesg(ProtocolCode.GET_SERVO_STATUS, has_reply=True)",Get all the statuses of multiple servo motors
MyArmAPI,get_servos_protect_current,self,pymycobot/myarm_api.py:L329-L331,ProtocolCode.GET_SERVO_LASTPDI (0xE6),,,"self._mesg(ProtocolCode.GET_SERVO_LASTPDI, has_reply=True)",Obtain multiple servo motor protection currents
MyArmAPI,get_servos_encoder,self,pymycobot/myarm_api.py:L333-L335,ProtocolCode.GET_ENCODERS (0x3D),,,"self._mesg(ProtocolCode.GET_ENCODERS, has_reply=True)",Obtain the current encoder potential values for multiple servo motors
MyArmAPI,get_servos_speed,self,pymycobot/myarm_api.py:L337-L339,ProtocolCode.GET_SERVO_SPEED (0xE1),,,"self._mesg(ProtocolCode.GET_SERVO_SPEED, has_reply=True)",Gets the current movement speed of multiple servo motors
MyArmAPI,set_servo_p,"self, servo_id, data",pymycobot/myarm_api.py:L341-L350,ProtocolCode.SET_SERVO_P (0x70),"servo_id=servo_id, P=data",,,Sets the proportionality factor of the position loop P of the specified servo motor /  / Args: /     servo_id (int): 0 - 8 /     data (int): 0-254
MyArmAPI,get_servo_p,"self, servo_id",pymycobot/myarm_api.py:L352-L359,ProtocolCode.GET_SERVO_P (0xE7),servo_id=servo_id,,"self._mesg(ProtocolCode.GET_SERVO_P, servo_id, has_reply=True)",Reads the position loop P scale factor of the specified servo motor /  / Args: /     servo_id (int): 0 - 8
MyArmAPI,set_servo_d,"self, servo_id, data",pymycobot/myarm_api.py:L361-L369,ProtocolCode.MERCURY_DRAG_TECH_EXECUTE (0x71),"servo_id=servo_id, D=data",,,Sets the proportional factor for the position ring D of the specified servo motor /  / Args: /     servo_id (int): 0 - 8 /     data (int): 0-254
MyArmAPI,get_servo_d,"self, servo_id",pymycobot/myarm_api.py:L371-L378,ProtocolCode.GET_SERVO_D (0xE8),servo_id=servo_id,,"self._mesg(ProtocolCode.GET_SERVO_D, servo_id, has_reply=True, timeout=0.1)",Reads the position ring D scale factor for the specified servo motor /  / Args: /     servo_id (int): 0 - 8
MyArmAPI,set_servo_i,"self, servo_id, data",pymycobot/myarm_api.py:L380-L388,ProtocolCode.MERCURY_DRAG_TECH_PAUSE (0x72),"servo_id=servo_id, I=data",,,Set the proportional factor of the position ring I of the specified servo motor /  / Args: /     servo_id (int): 0 - 8 /     data (int): 0 - 254
MyArmAPI,get_servo_i,"self, servo_id",pymycobot/myarm_api.py:L390-L393,ProtocolCode.GET_ERROR_DETECT_MODE (0xE9),servo_id=servo_id,,"self._mesg(ProtocolCode.GET_ERROR_DETECT_MODE, servo_id, has_reply=True)",Reads the position loop I scale factor of the specified servo motor
MyArmAPI,set_servo_cw,"self, servo_id, data",pymycobot/myarm_api.py:L395-L403,ProtocolCode.SET_SERVO_MOTOR_CLOCKWISE (0x73),"servo_id=servo_id, cw=data",,,Sets the clockwise insensitivity zone of the encoder for the specified servo motor /  / Args: /     servo_id (int): 0 - 8 /     data (int): 0 - 32
MyArmAPI,get_servo_cw,"self, servo_id",pymycobot/myarm_api.py:L405-L412,ProtocolCode.GET_SERVO_MOTOR_CLOCKWISE (0xEA),servo_id=servo_id,,"self._mesg(ProtocolCode.GET_SERVO_MOTOR_CLOCKWISE, servo_id, has_reply=True)",Reads the clockwise insensitive area of the encoder for the specified servo motor /  / Args: /     servo_id (int): 0 - 254
MyArmAPI,set_servo_cww,"self, servo_id, data",pymycobot/myarm_api.py:L414-L422,ProtocolCode.SET_SERVO_MOTOR_COUNTER_CLOCKWISE (0x74),"servo_id=servo_id, cww=data",,"self._mesg(ProtocolCode.SET_SERVO_MOTOR_COUNTER_CLOCKWISE, servo_id, data)",Sets the counterclockwise insensitive zone of the encoder for the specified servo motor /  / Args: /     servo_id (int): 0 - 254 /     data (int): 0 - 32
MyArmAPI,get_servo_cww,"self, servo_id",pymycobot/myarm_api.py:L424-L431,ProtocolCode.GET_SERVO_MOTOR_COUNTER_CLOCKWISE (0xEB),servo_id=servo_id,,"self._mesg(ProtocolCode.GET_SERVO_MOTOR_COUNTER_CLOCKWISE, servo_id, has_reply=True)",Reads the counterclockwise insensitive area of the encoder of the specified servo motor /  / Args: /     servo_id (int): 0 - 254
MyArmAPI,set_servo_system_data,"self, servo_id, addr, data, mode",pymycobot/myarm_api.py:L433-L443,ProtocolCode.SET_SERVO_MOTOR_CONFIG (0x52),"servo_id=servo_id, servo_addr=addr, servo_mode=mode, servo_data=data",,,Set the system parameters for the specified servo motor /  / Args: /     servo_id (int): 0 - 254: /     addr (int): /     data (int): 0 - 4096 /     mode (int): 1 - data 1byte. 2 - data 2byte
MyArmAPI,get_servo_system_data,"self, servo_id, addr, mode",pymycobot/myarm_api.py:L445-L454,ProtocolCode.GET_SERVO_MOTOR_CONFIG (0x53),"servo_id=servo_id, servo_data=addr, servo_mode=mode",,"self._mesg(ProtocolCode.GET_SERVO_MOTOR_CONFIG, servo_id, addr, mode, has_reply=True)",Read the system parameters of the specified servo motor /  / Args: /     servo_id (int): 0 - 254 /     addr (int): /     mode (int): 1 - data 1byte. 2 - data 2byte
MyArmAPI,set_master_out_io_state,"self, pin_number, status=1",pymycobot/myarm_api.py:L456-L465,ProtocolCode.SET_MASTER_PIN_STATUS (0x65),"pin_number=pin_number, status=status",,,"Set the host I/O pin status /  / Args: /     pin_number: M750(1 -6), C650(1-2) /     status: 0/1; 0: low; 1: high. default: 1"
MyArmAPI,get_master_in_io_state,"self, pin_number",pymycobot/myarm_api.py:L467-L477,ProtocolCode.GET_MASTER_PIN_STATUS (0x66),pin_number=pin_number,,"self._mesg(ProtocolCode.GET_MASTER_PIN_STATUS, pin_number, has_reply=True)","get the host I/O pin status /  / Args: /     pin_number (int): M750(1 -6), C650(1-2) /  / Returns: /         0 or 1. 1: high 0: low"
MyArmAPI,set_tool_out_io_state,"self, pin, status=1",pymycobot/myarm_api.py:L479-L487,ProtocolCode.SET_ATOM_PIN_STATUS (0x61),"tool_pin_number=pin, status=status",,,Set the Atom pin status /  / Args: /     pin (int): 1 - 2 /     status: 0 or 1; 0: low; 1: high. default: 1
MyArmAPI,get_tool_in_io_state,"self, pin",pymycobot/myarm_api.py:L489-L500,ProtocolCode.GET_ATOM_PIN_STATUS (0x62),tool_pin_number=pin,,"self._mesg(ProtocolCode.GET_ATOM_PIN_STATUS, pin, has_reply=True)",Get the Atom pin status /  / Args: /     pin (int): pin /  / Returns: /     0 or 1. 1: high 0: low
MyArmAPI,set_tool_led_color,"self, r, g, b",pymycobot/myarm_api.py:L502-L512,ProtocolCode.GET_ATOM_LED_COLOR (0x6A),"color=(r, g, b)",,"self._mesg(ProtocolCode.GET_ATOM_LED_COLOR, r, g, b)",Set the Atom LED color /  / Args: /     r: 0-255 /     g: 0-255 /     b: 0-255
MyArmAPI,restore_servo_system_param,"self, servo_id",pymycobot/myarm_api.py:L514-L521,ProtocolCode.RESTORE_SERVO_SYSTEM_PARAM (0x0A),servo_id=servo_id,,"self._mesg(ProtocolCode.RESTORE_SERVO_SYSTEM_PARAM, servo_id)",Restore servo motor system parameters / Args: /     servo_id: 0 - 255
